Admin1,Admin1Pcode,Admin2,Admin2Pcode,Admin3,Admin3Pcode,Admin3PcodeReview,CasSuspect,DecesSuspect,CasConfirmes,DecesConfirmes,Contacts
Nord-Kivu,CD61,Butembo,CD6110,Katwa,CD6110ZS02,CD611002,1,0,1,0,ND
Nord-Kivu,CD61,Lubero,CD6105,Kayna,CD6105ZS03,CD610503,0,0,0,0,
Nord-Kivu,CD61,Rutshuru,CD6111,Kibirizi,CD6111ZS04,CD611104,0,0,0,0,
Nord-Kivu,CD61,Walikale,CD6104,Kibua,CD6104ZS02,CD610402,0,0,0,0,
Nord-Kivu,CD61,Masisi,CD6103,Kirotshe,CD6103ZS02,CD610302,0,0,0,0,
Nord-Kivu,CD61,Oïcha,CD6107,Kyondo,CD6107ZS03,CD610703,0,0,0,0,
Nord-Kivu,CD61,Lubero,CD6105,Lubero,CD6105ZS04,CD610504,0,0,0,0,
Nord-Kivu,CD61,Oïcha,CD6107,Mabalako,CD6107ZS04,CD610704,0,0,0,0,
Nord-Kivu,CD61,Lubero,CD6105,Manguredjipa,CD6105ZS05,CD610505,0,0,0,0,
Nord-Kivu,CD61,Lubero,CD6105,Masereka,CD6105ZS06,CD610506,0,0,0,0,
Nord-Kivu,CD61,Masisi,CD6103,Masisi,CD6103ZS03,CD610303,0,0,0,0,
Nord-Kivu,CD61,Lubero,CD6105,Musienene,CD6105ZS07,CD610507,0,0,0,0,
Nord-Kivu,CD61,Oïcha,CD6107,Mutwanga,CD6107ZS05,CD610705,0,0,0,0,
Nord-Kivu,CD61,Masisi,CD6103,Mweso,CD6103ZS04,CD610304,0,0,0,0,
Nord-Kivu,CD61,Nyiragongo,CD6102,Nyiragongo,CD6102ZS01,CD610201,0,0,0,0,
Nord-Kivu,CD61,Oïcha,CD6107,Oicha,CD6107ZS06,CD610706,0,0,0,0,
Nord-Kivu,CD61,Walikale,CD6104,Pinga,CD6104ZS03,CD610403,0,0,0,0,
Nord-Kivu,CD61,Rutshuru,CD6111,Rutshuru,CD6111ZS05,CD611105,0,0,0,0,
Nord-Kivu,CD61,Rutshuru,CD6111,Rwanguba,CD6111ZS06,CD611106,0,0,0,0,
Nord-Kivu,CD61,Oïcha,CD6107,Vuhovi,CD6107ZS07,CD610707,0,0,0,0,
Nord-Kivu,CD61,Walikale,CD6104,Walikale,CD6104ZS04,CD610404,0,0,0,0,
Sud-Kivu,CD62,Bukavu,CD6201,Bagira,CD6201ZS01,CD620101,0,0,0,0,
Sud-Kivu,CD62,Bukavu,CD6201,Ibanda,CD6201ZS02,CD620102,0,0,0,0,
Sud-Kivu,CD62,Bukavu,CD6201,Kadutu,CD6201ZS03,CD620103,0,0,0,0,
Sud-Kivu,CD62,Kabare,CD6202,Kabare,CD6202ZS01,CD620201,0,0,0,0,
Sud-Kivu,CD62,Kabare,CD6202,Katana,CD6202ZS03,CD620203,0,0,0,0,
Sud-Kivu,CD62,Kabare,CD6202,Miti-Murhesa,CD6202ZS04,CD620204,0,0,0,0,
Sud-Kivu,CD62,Kabare,CD6202,Nyantende,CD6202ZS05,CD620205,0,0,0,0,
Sud-Kivu,CD62,Shabunda,CD6203,Kalole,CD6203ZS01,CD620301,0,0,0,0,
Sud-Kivu,CD62,Shabunda,CD6203,Lulingu,CD6203ZS02,CD620302,0,0,0,0,
Sud-Kivu,CD62,Shabunda,CD6203,Mulungu,CD6203ZS03,CD620303,0,0,0,0,
Sud-Kivu,CD62,Shabunda,CD6203,Shabunda,CD6203ZS04,CD620304,0,0,0,0,
Sud-Kivu,CD62,Kalehe,CD6205,Bunyakiri,CD6205ZS01,CD620501,0,0,0,0,
Sud-Kivu,CD62,Kalehe,CD6205,Kalehe,CD6205ZS02,CD620502,0,0,0,0,
Sud-Kivu,CD62,Kalehe,CD6205,Minova,CD6205ZS04,CD620504,0,0,0,0,
Sud-Kivu,CD62,Idjwi,CD6206,Idjwi,CD6206ZS01,CD620601,0,0,0,0,
Sud-Kivu,CD62,Walungu,CD6207,Mubumbano,CD6207ZS02,CD620702,0,0,0,0,
Sud-Kivu,CD62,Walungu,CD6207,Nyangezi,CD6207ZS03,CD620703,0,0,0,0,
Sud-Kivu,CD62,Uvira,CD6208,Hauts-Plateaux,CD6208ZS01,CD620801,0,0,0,0,
Sud-Kivu,CD62,Fizi,CD6210,Fizi,CD6210ZS01,CD621001,0,0,0,0,
Sud-Kivu,CD62,Fizi,CD6210,Kimbi Lulenge,CD6210ZS02,CD621002,0,0,0,0,
Sud-Kivu,CD62,Fizi,CD6210,Minembwe,CD6210ZS03,CD621003,0,0,0,0,
Sud-Kivu,CD62,Fizi,CD6210,Nundu,CD6210ZS04,CD621004,0,0,0,0,
Sud-Kivu,CD62,Mwenga,CD6212,Kamituga,CD6212ZS02,CD621202,0,0,0,0,
Sud-Kivu,CD62,Mwenga,CD6212,Kitutu,CD6212ZS03,CD621203,0,0,0,0,
Sud-Kivu,CD62,Mwenga,CD6212,Mwana,CD6212ZS04,CD621204,0,0,0,0,
Sud-Kivu,CD62,Mwenga,CD6212,Mwenga,CD6212ZS05,CD621205,0,0,0,0,
Maniema,CD63,Kindu,CD6301,Alunguli,CD6301ZS01,CD630101,0,0,0,0,
Maniema,CD63,Kindu,CD6301,Kindu,CD6301ZS02,CD630102,0,0,0,0,
Maniema,CD63,Kailo,CD6302,Kailo,CD6302ZS01,CD630201,0,0,0,0,
Maniema,CD63,Punia,CD6303,Ferekeni,CD6303ZS01,CD630301,0,0,0,0,
Maniema,CD63,Punia,CD6303,Punia,CD6303ZS02,CD630302,0,0,0,0,
Maniema,CD63,Lubutu,CD6305,Lubutu,CD6305ZS01,CD630501,0,0,0,0,
Maniema,CD63,Lubutu,CD6305,Obokote,CD6305ZS02,CD630502,0,0,0,0,
Maniema,CD63,Pangi,CD6307,Kalima,CD6307ZS01,CD630701,0,0,0,0,
Maniema,CD63,Pangi,CD6307,Kampene,CD6307ZS02,CD630702,0,0,0,0,
Maniema,CD63,Pangi,CD6307,Pangi,CD6307ZS03,CD630703,0,0,0,0,
Maniema,CD63,Kabambare,CD6309,Kabambare,CD6309ZS01,CD630901,0,0,0,0,
Maniema,CD63,Kabambare,CD6309,Lusangi,CD6309ZS02,CD630902,0,0,0,0,
Maniema,CD63,Kabambare,CD6309,Saramabila,CD6309ZS03,CD630903,0,0,0,0,
Maniema,CD63,Kasongo,CD6311,Kasongo,CD6311ZS01,CD631101,0,0,0,0,
Maniema,CD63,Kasongo,CD6311,Kunda,CD6311ZS02,CD631102,0,0,0,0,
Maniema,CD63,Kasongo,CD6311,Samba,CD6311ZS03,CD631103,0,0,0,0,
Maniema,CD63,Kibombo,CD6313,Kibombo,CD6313ZS01,CD631301,0,0,0,0,
Maniema,CD63,Kibombo,CD6313,Tunda,CD6313ZS02,CD631302,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Kamalondo,CD7101ZS01,CD710101,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Kampemba,CD7101ZS02,CD710102,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Katuba,CD7101ZS03,CD710103,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Kenya,CD7101ZS04,CD710104,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Kisanga,CD7101ZS05,CD710105,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Kowe,CD7101ZS06,CD710106,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Lubumbashi,CD7101ZS07,CD710107,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Mumbunda,CD7101ZS08,CD710108,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Tshamilemba,CD7101ZS10,CD710110,0,0,0,0,
Haut-Katanga,CD71,Lubumbashi,CD7101,Vangu,CD7101ZS11,CD710111,0,0,0,0,
Haut-Katanga,CD71,Kipushi,CD7102,Kafubu,CD7102ZS01,CD710201,0,0,0,0,
Haut-Katanga,CD71,Kipushi,CD7102,Kipushi,CD7102ZS02,CD710202,0,0,0,0,
Haut-Katanga,CD71,Sakania,CD7104,Sakania,CD7104ZS01,CD710401,0,0,0,0,
Haut-Katanga,CD71,Kambove,CD7105,Kambove,CD7105ZS01,CD710501,0,0,0,0,
Haut-Katanga,CD71,Kambove,CD7105,Kapolowe,CD7105ZS02,CD710502,0,0,0,0,
Haut-Katanga,CD71,Kambove,CD7105,Kilela Balanda,CD7105ZS03,CD710503,0,0,0,0,
Haut-Katanga,CD71,Kambove,CD7105,Manika,CD7105ZS04,CD710504,0,0,0,0,
Haut-Katanga,CD71,Kambove,CD7105,Panda,CD7105ZS05,CD710505,0,0,0,0,
Haut-Katanga,CD71,Likasi,CD7106,Likasi,CD7106ZS01,CD710601,0,0,0,0,
Haut-Katanga,CD71,Kasenga,CD7107,Kasenga,CD7107ZS01,CD710701,0,0,0,0,
Haut-Katanga,CD71,Kasenga,CD7107,Kikula,CD7107ZS02,CD710702,0,0,0,0,
Haut-Katanga,CD71,Kasenga,CD7107,Lukafu,CD7107ZS03,CD710703,0,0,0,0,
Haut-Katanga,CD71,Kasenga,CD7107,Kashobwe,CD7107ZS04,CD710704,0,0,0,0,
Haut-Katanga,CD71,Mitwaba,CD7108,Mitwaba,CD7108ZS01,CD710801,0,0,0,0,
Haut-Katanga,CD71,Mitwaba,CD7108,Mufunga Sampwe,CD7108ZS02,CD710802,0,0,0,0,
Haut-Katanga,CD71,Pweto,CD7109,Kilwa,CD7109ZS01,CD710901,0,0,0,0,
Haut-Katanga,CD71,Pweto,CD7109,Pweto,CD7109ZS02,CD710902,0,0,0,0,
Lualaba,CD72,Mutshatsha,CD7202,Dilala,CD7202ZS01,CD720201,0,0,0,0,
Lualaba,CD72,Mutshatsha,CD7202,Lualaba,CD7202ZS02,CD720202,0,0,0,0,
Lualaba,CD72,Mutshatsha,CD7202,Mutshatsha,CD7202ZS03,CD720203,0,0,0,0,
Lualaba,CD72,Lubudi,CD7203,Bunkeya,CD7203ZS01,CD720301,0,0,0,0,
Lualaba,CD72,Lubudi,CD7203,Fungurume,CD7203ZS02,CD720302,0,0,0,0,
Lualaba,CD72,Lubudi,CD7203,Kanzenze,CD7203ZS03,CD720303,0,0,0,0,
Lualaba,CD72,Lubudi,CD7203,Lubudi,CD7203ZS04,CD720304,0,0,0,0,
Lualaba,CD72,Dilolo,CD7205,Dilolo,CD7205ZS01,CD720501,0,0,0,0,
Lualaba,CD72,Dilolo,CD7205,Kasaji,CD7205ZS02,CD720502,0,0,0,0,
Lualaba,CD72,Sandoa,CD7206,Kafakumba,CD7206ZS01,CD720601,0,0,0,0,
Lualaba,CD72,Sandoa,CD7206,Sandoa,CD7206ZS02,CD720602,0,0,0,0,
Lualaba,CD72,Kapanga,CD7207,Kalamba,CD7207ZS01,CD720701,0,0,0,0,
Lualaba,CD72,Kapanga,CD7207,Kapanga,CD7207ZS02,CD720702,0,0,0,0,
Haut-Lomami,CD73,Kamina,CD7302,Baka,CD7302ZS01,CD730201,0,0,0,0,
Haut-Lomami,CD73,Kamina,CD7302,Kamina,CD7302ZS02,CD730202,0,0,0,0,
Haut-Lomami,CD73,Kamina,CD7302,Kinda,CD7302ZS03,CD730203,0,0,0,0,
Haut-Lomami,CD73,Kamina,CD7302,Songa,CD7302ZS04,CD730204,0,0,0,0,
Haut-Lomami,CD73,Kaniama,CD7303,Kaniama,CD7303ZS01,CD730301,0,0,0,0,
Haut-Lomami,CD73,Kabongo,CD7304,Kabongo,CD7304ZS01,CD730401,0,0,0,0,
Haut-Lomami,CD73,Kabongo,CD7304,Kayamba,CD7304ZS02,CD730402,0,0,0,0,
Haut-Lomami,CD73,Kabongo,CD7304,Kitenge,CD7304ZS03,CD730403,0,0,0,0,
Haut-Lomami,CD73,Bukama,CD7306,Kinkondja,CD7306ZS04,CD730604,0,0,0,0,
Haut-Lomami,CD73,Malemba-Nkulu,CD7305,Lwamba,CD7305ZS02,CD730502,0,0,0,0,
Haut-Lomami,CD73,Malemba-Nkulu,CD7305,Mukanga,CD7305ZS03,CD730503,0,0,0,0,
Haut-Lomami,CD73,Malemba-Nkulu,CD7305,Mulongo,CD7305ZS04,CD730504,0,0,0,0,
Haut-Lomami,CD73,Bukama,CD7306,Bukama,CD7306ZS01,CD730601,0,0,0,0,
Haut-Lomami,CD73,Bukama,CD7306,Butumba,CD7306ZS02,CD730602,0,0,0,0,
Haut-Lomami,CD73,Bukama,CD7306,Kabondo Dianda,CD7306ZS03,CD730603,0,0,0,0,
Haut-Lomami,CD73,Malemba-Nkulu,CD7305,Malemba,CD7305ZS01,CD730501,0,0,0,0,
Tanganyika,CD74,Kalemie,CD7402,Kalemie,CD7402ZS01,CD740201,0,0,0,0,
Tanganyika,CD74,Kalemie,CD7402,Nyemba,CD7402ZS02,CD740202,0,0,0,0,
Tanganyika,CD74,Moba,CD7404,Kansimba,CD7404ZS01,CD740401,0,0,0,0,
Tanganyika,CD74,Moba,CD7404,Moba,CD7404ZS02,CD740402,0,0,0,0,
Tanganyika,CD74,Manono,CD7406,Kiyambi,CD7406ZS02,CD740602,0,0,0,0,
Tanganyika,CD74,Manono,CD7406,Manono,CD7406ZS03,CD740603,0,0,0,0,
Tanganyika,CD74,Kabalo,CD7407,Kabalo,CD7407ZS01,CD740701,0,0,0,0,
Tanganyika,CD74,Kongolo,CD7409,Kongolo,CD7409ZS01,CD740901,0,0,0,0,
Lomami,CD81,Kabinda,CD8102,Kalonda Est,CD8102ZS02,CD810202,0,0,0,0,
Lomami,CD81,Kabinda,CD8102,Ludimbi Lukula,CD8102ZS03,CD810203,0,0,0,0,
Lomami,CD81,Mwene-Ditu,CD8103,Mwene Ditu,CD8103ZS02,CD810302,0,0,0,0,
Lomami,CD81,Luilu,CD8104,Kalenda,CD8104ZS01,CD810401,0,0,0,0,
Lomami,CD81,Luilu,CD8104,Kanda Kanda,CD8104ZS02,CD810402,0,0,0,0,
Lomami,CD81,Luilu,CD8104,Luputa,CD8104ZS03,CD810403,0,0,0,0,
Lomami,CD81,Luilu,CD8104,Wikong,CD8104ZS04,CD810404,0,0,0,0,
Lomami,CD81,Kamiji,CD8105,Kamiji,CD8105ZS01,CD810501,0,0,0,0,
Lomami,CD81,Ngandajika,CD8106,Kalambayi Kabanga,CD8106ZS01,CD810601,0,0,0,0,
Lomami,CD81,Ngandajika,CD8106,Mulumba,CD8106ZS02,CD810602,0,0,0,0,
Lomami,CD81,Lubao,CD8108,Kamana,CD8108ZS01,CD810801,0,0,0,0,
Lomami,CD81,Lubao,CD8108,Lubao,CD8108ZS02,CD810802,0,0,0,0,
Kasaï-Oriental,CD82,Mbuji-Mayi,CD8201,Dibindi,CD8201ZS03,CD820103,0,0,0,0,
Kasaï-Oriental,CD82,Mbuji-Mayi,CD8201,Lubilanji,CD8201ZS06,CD820106,0,0,0,0,
Kasaï-Oriental,CD82,Mbuji-Mayi,CD8201,Mpokolo,CD8201ZS08,CD820108,0,0,0,0,
Kasaï-Oriental,CD82,Lupatapata,CD8208,Mukumbi,CD8208ZS01,CD820801,0,0,0,0,
Sankuru,CD83,Lusambo,CD8302,Lusambo,CD8302ZS01,CD830201,0,0,0,0,
Sankuru,CD83,Lusambo,CD8302,Ototo,CD8302ZS02,CD830202,0,0,0,0,
Sankuru,CD83,Lusambo,CD8302,Pania Mutombo,CD8302ZS03,CD830203,0,0,0,0,
Sankuru,CD83,Lodja,CD8303,Omendjadi,CD8303ZS02,CD830302,0,0,0,0,
Sankuru,CD83,Lodja,CD8303,Vanga Kete,CD8303ZS03,CD830303,0,0,0,0,
Sankuru,CD83,Kole,CD8306,Bena Dibele,CD8306ZS01,CD830601,0,0,0,0,
Sankuru,CD83,Kole,CD8306,Kole,CD8306ZS02,CD830602,0,0,0,0,
Sankuru,CD83,Lomela,CD8307,Lomela,CD8307ZS01,CD830701,0,0,0,0,
Sankuru,CD83,Lomela,CD8307,Tshudi Loto,CD8307ZS02,CD830702,0,0,0,0,
Sankuru,CD83,Katako Kombe,CD8308,Djalo Djeka,CD8308ZS01,CD830801,0,0,0,0,
Sankuru,CD83,Katako Kombe,CD8308,Katako Kombe,CD8308ZS02,CD830802,0,0,0,0,
Sankuru,CD83,Katako Kombe,CD8308,Wembo Nyama,CD8308ZS03,CD830803,0,0,0,0,
Sankuru,CD83,Lubefu,CD8309,Dikungu,CD8309ZS01,CD830901,0,0,0,0,
Sankuru,CD83,Lubefu,CD8309,Minga,CD8309ZS02,CD830902,0,0,0,0,
Sankuru,CD83,Lubefu,CD8309,Tshumbe,CD8309ZS03,CD830903,0,0,0,0,
Kasaï-Central,CD91,Dibaya,CD9102,Dibaya,CD9102ZS02,CD910202,0,0,0,0,
Kasaï-Central,CD91,Dimbelenge,CD9107,Lubunga,CD9107ZS03,CD910703,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Kalonda Ouest,CD9202ZS01,CD920201,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Kanzala,CD9202ZS04,CD920204,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Nyanga,CD9202ZS07,CD920207,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Tshikapa,CD9202ZS08,CD920208,0,0,0,0,
Kasaï,CD92,Luebo,CD9204,Luebo,CD9204ZS01,CD920401,0,0,0,0,
Kasaï,CD92,Ilebo,CD9205,Banga Lubaka,CD9205ZS01,CD920501,0,0,0,0,
Kasaï,CD92,Mweka,CD9207,Bulape,CD9207ZS01,CD920701,0,0,0,0,
Kasaï,CD92,Mweka,CD9207,Kakenge,CD9207ZS02,CD920702,0,0,0,0,
Kasaï,CD92,Mweka,CD9207,Mushenge,CD9207ZS03,CD920703,0,0,0,0,
Kasaï,CD92,Mweka,CD9207,Mweka,CD9207ZS04,CD920704,0,0,0,0,
Kasaï,CD92,Dekese,CD9208,Dekese,CD9208ZS01,CD920801,0,0,0,0,
